,inv_num,date_year,date_winter,date_month,date_Monday,date_Saturday,date_Sunday,date_Thursday,date_Tuesday,date_Wednesday,date_morning,date_afternoon,date_evening,loc_latitude,loc_longitude,loc_North York,loc_Scarborough,loc_Toronto and East York,loc_Bay Street Corridor (76),loc_Rouge (131),loc_Waterfront Communities-The Island (77),loc_West Humber-Clairville (1),loc_Wexford/Maryvale (119),loc_Woburn (137),loc_dundas,loc_steeles,loc_finch,loc_lawrence,loc_lake shore,loc_queen,loc_clair,loc_sheppard,loc_bloor,loc_gardiner,loc_victoria,loc_don mills,loc_don valley,loc_king,env_no_traffic_control,env_intersection,env_major_arterial,env_daylight,env_precipitation,inv_cyclist,inv_pedestrian,inv_automobile,inv_passenger,inv_injury_level,inv_fatal_acc,cau_normal,cau_inattentive,cau_driving_properly,cau_failed_to_yield_row,cau_speeding,cau_agressive_driv,cau_going_ahead,cau_turning_left
80,2,2006,0,4,0,0,0,0,1,0,0,1,0,43.686545,-79.41319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0
81,2,2006,0,4,0,0,0,0,1,0,0,1,0,43.686545,-79.41319,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.4,0,1,1,0,2,0,1,0,0,0,0,0,0,0
82,2,2006,0,4,0,0,0,1,0,0,0,1,0,43.658545,-79.38489,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.2,1,0,1,0,0,0,1,0,1,0,0,0,0,0
83,2,2006,0,4,0,0,0,1,0,0,0,1,0,43.658545,-79.38489,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.2,1,0,1,0,2,0,0,1,0,0,0,0,1,0
84,2,2006,0,4,0,0,0,1,0,0,0,0,1,43.708045,-79.43919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,0,1,1,0,0,0,1,0,1,0,0,0,1,0
85,2,2006,0,4,0,0,0,1,0,0,0,0,1,43.708045,-79.43919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.2,0,1,1,0,2,0,0,0,0,0,0,0,0,0
86,4,2006,0,4,0,0,0,0,0,0,0,1,0,43.745745,-79.20959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11.6,0,0,1,0,0,0,0,0,0,0,1,1,0,0
87,4,2006,0,4,0,0,0,0,0,0,0,1,0,43.745745,-79.20959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11.6,0,0,1,0,0,0,1,0,0,0,1,1,0,0
88,4,2006,0,4,0,0,0,0,0,0,0,1,0,43.745745,-79.20959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11.6,0,0,1,0,0,0,0,0,0,0,1,1,0,0
89,4,2006,0,4,0,0,0,0,0,0,0,1,0,43.745745,-79.20959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,11.6,0,0,1,0,2,0,1,0,1,0,1,1,0,0
90,2,2006,0,4,0,1,0,0,0,0,1,0,0,43.788745,-79.26289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2,2006,0,4,0,1,0,0,0,0,1,0,0,43.788745,-79.26289,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
92,2,2006,0,4,1,0,0,0,0,0,0,0,1,43.651845,-79.36989,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
